Lob F Name,Lob L Name,Report,Pub Off,Recipient,Date,Type,Description,Cost,Principal,Amend Reason,Amend Indv ID,If Amended,Indv ID
Melanie,Abrajano,Apr-13,,"MARSHALL, NICK  - Representative",4/1/2013,"Meals, Food, & Beverage","Lunch at The Cafe at Briarcliff, Kansas City, MO",$21.40 ,MISSOURI CLUB FOR GROWTH,,0,Not Amended,34795
Melanie,Abrajano,Apr-13,,"LIBLA, DOUG  - Senator",4/12/2013,"Meals, Food, & Beverage",Lunch at The Bread Company in Poplar Bluff,$8.75 ,MISSOURI CLUB FOR GROWTH,,0,Not Amended,34800
Melanie,Abrajano,Apr-13,,"HAMPTON, KENT  - Representative",4/12/2013,"Meals, Food, & Beverage",Lunch at The Bread Company in Poplar Bluff,$8.75 ,MISSOURI CLUB FOR GROWTH,,0,Not Amended,34806
Melanie,Abrajano,Apr-13,,"RICHARDSON, TODD  - Representative",4/12/2013,"Meals, Food, & Beverage",Lunch at The Bread Company in Poplar Bluff,$8.75 ,MISSOURI CLUB FOR GROWTH,,0,Not Amended,34807
Melanie,Abrajano,Apr-13,,"COOKSON, STEVE  - Representative",4/12/2013,"Meals, Food, & Beverage",Lunch at The Bread Company in Poplar Bluff,$8.75 ,MISSOURI CLUB FOR GROWTH,,0,Not Amended,34803
Melanie,Abrajano,Apr-13,,"FOWLER, DENNIS  - Representative",4/12/2013,"Meals, Food, & Beverage",Lunch at The Bread Company in Poplar Bluff,$8.75 ,MISSOURI CLUB FOR GROWTH,,0,Not Amended,34804
Melanie,Abrajano,Apr-13,,"EMERY, ED  - Senator",4/1/2013,"Meals, Food, & Beverage","Lunch at The Cafe at Briarcliff, Kansas City, MO",$21.40 ,MISSOURI CLUB FOR GROWTH,,0,Not Amended,34792
Randall G,Allen,Jan-13,,"SCRIVNER, BOB - Local Government Official",1/27/2013,"Meals, Food, & Beverage",,$10.00 ,JEFFERSON CITY AREA CHAMBER OF COMMERCE,,0,Not Amended,29813
Randall G,Allen,Jan-13,,"ELLINGER, MARC - Local Government Official",1/25/2013,"Meals, Food, & Beverage",,$10.00 ,JEFFERSON CITY AREA CHAMBER OF COMMERCE,,0,Not Amended,29814
Randall G,Allen,Mar-13,,"ELLINGER, MARC - Local Government Official",3/29/2013,"Meals, Food, & Beverage",,$10.00 ,JEFFERSON CITY AREA CHAMBER OF COMMERCE,,0,Not Amended,32789
Randall G,Allen,Mar-13,,"HOELSCHER, JEFF - Local Government Official",3/29/2013,"Meals, Food, & Beverage",,$10.00 ,JEFFERSON CITY AREA CHAMBER OF COMMERCE,,0,Not Amended,32790
Randall G,Allen,Mar-13,,"SCRIVNER, BOB - Local Government Official",3/29/2013,"Meals, Food, & Beverage",,$10.00 ,JEFFERSON CITY AREA CHAMBER OF COMMERCE,,0,Not Amended,32791
Randall G,Allen,Mar-13,,"STRUEMPH, ERIC - Local Government Official",3/29/2013,"Meals, Food, & Beverage",,$10.00 ,JEFFERSON CITY AREA CHAMBER OF COMMERCE,,0,Not Amended,32792
Randall G,Allen,Apr-13,,"HOELSCHER, JEFF - Local Government Official",4/26/2013,"Meals, Food, & Beverage",,$10.00 ,JEFFERSON CITY AREA CHAMBER OF COMMERCE,,0,Not Amended,33156
Randall G,Allen,Apr-13,,"SCRIVNER, BOB - Local Government Official",4/26/2013,"Meals, Food, & Beverage",,$10.00 ,JEFFERSON CITY AREA CHAMBER OF COMMERCE,,0,Not Amended,33157
Randall G,Allen,Apr-13,,"SCHEPERLE, KRIS - Local Government Official",4/26/2013,"Meals, Food, & Beverage",,$10.00 ,JEFFERSON CITY AREA CHAMBER OF COMMERCE,,0,Not Amended,33159
Randall G,Allen,May-13,,"ELLINGER, MARC - Local Government Official",5/31/2013,"Meals, Food, & Beverage",,$10.00 ,JEFFERSON CITY AREA CHAMBER OF COMMERCE,,0,Not Amended,36003
Randall G,Allen,May-13,,"HOELSCHER, JEFF - Local Government Official",5/31/2013,"Meals, Food, & Beverage",,$10.00 ,JEFFERSON CITY AREA CHAMBER OF COMMERCE,,0,Not Amended,36004
Randall G,Allen,Jun-13,,"ELLINGER, MARC - Local Government Official",6/28/2013,"Meals, Food, & Beverage",,$10.00 ,JEFFERSON CITY AREA CHAMBER OF COMMERCE,,0,Not Amended,36958
Randall G,Allen,Jun-13,,"HOELSCHER, JEFF - Local Government Official",6/28/2013,"Meals, Food, & Beverage",,$10.00 ,JEFFERSON CITY AREA CHAMBER OF COMMERCE,,0,Not Amended,36959
Randall G,Allen,Jun-13,,"SCRIVNER, BOB - Local Government Official",6/28/2013,"Meals, Food, & Beverage",,$10.00 ,JEFFERSON CITY AREA CHAMBER OF COMMERCE,,0,Not Amended,36960
Randall G,Allen,Aug-13,,"SCHEPERLE, KRIS - Local Government Official",8/23/2013,"Meals, Food, & Beverage",,$10.00 ,JEFFERSON CITY AREA CHAMBER OF COMMERCE,,0,Not Amended,37861
Randall G,Allen,Aug-13,,"SCRIVNER, BOB - Local Government Official",8/23/2013,"Meals, Food, & Beverage",,$10.00 ,JEFFERSON CITY AREA CHAMBER OF COMMERCE,,0,Not Amended,37862
Charles M,Ambrose,Jan-13,,"BUTTERFIELD, DON - Local Government Official",1/9/2013,Gift,Gift bag presented w/UCM gear on court at UCM Johnson County/City of Warrensburg Night basketball game,$20.00 ,UNIVERSITY OF CENTRAL MISSOURI,,0,Not Amended,29635
Charles M,Ambrose,Jan-13,,"RUTT, CHARLIE - Local Government Official",1/9/2013,Gift,Gift bag presented w/UCM gear on court at UCM Johnson County/City of Warrensburg Night basketball game,$20.00 ,UNIVERSITY OF CENTRAL MISSOURI,,0,Not Amended,29636
Charles M,Ambrose,Jan-13,,Paula Hertwig-Hopkins - Public Official,1/9/2013,Other,Gift bag presented w/UCM gear on court at UCM Johnson County/City of Warrensburg Night basketball game,$20.00 ,UNIVERSITY OF CENTRAL MISSOURI,,0,Not Amended,29637
Charles M,Ambrose,Jan-13,,Bill Gabel - Public Official,1/9/2013,Other,Gift bag presented w/UCM gear on court at UCM Johnson County/City of Warrensburg Night basketball game,$20.00 ,UNIVERSITY OF CENTRAL MISSOURI,,0,Not Amended,29638
Charles M,Ambrose,Jan-13,,Diane Norcross Thompson - Public Official,1/9/2013,Other,Gift bag presented w/UCM gear on court at UCM Johnson County/City of Warrensburg Night basketball game,$20.00 ,UNIVERSITY OF CENTRAL MISSOURI,,0,Not Amended,29639
Charles M,Ambrose,Feb-13,Wife of Warrensburg Mayor Don Butterfield - Public Official,Dawna Butterfield - Spouse or Child,2/12/2013,"Meals, Food, & Beverage",Performing Arts Series reception at President's Residence Prior to John Amos performance,$9.00 ,UNIVERSITY OF CENTRAL MISSOURI,,0,Not Amended,31088
Charles M,Ambrose,Feb-13,,"BUTTERFIELD, DON - Local Government Official",2/12/2013,Entertainment,Ticket to attend the John Amos performance,$17.00 ,UNIVERSITY OF CENTRAL MISSOURI,,0,Not Amended,31093
