Recipient,Party Affiliation
"ALLEN, SUE - Representative",Republican
"ANDERS, IRA  - Representative",Democratic
"ANDERSON, SONYA  - Representative",Republican
"AUSTIN, KEVIN  - Representative",Republican
"BAHR, KURT  - Representative",Republican
"BARNES, JASON (JAY)  - Representative",Republican
"BARNITZ, FRANK - Senator",Democratic
"BEATTY, GAIL MCCANN  - Representative",Democratic
"BERNSKOETTER, MIKE  - Representative",Republican
"BERRY, T.J.  - Representative",Republican
"BLACK, LINDA - Representative",Democratic
"BRATTIN, RICK  - Representative",Republican
"BROWN, DAN W.  - Senator",Republican
"BROWN, WANDA  - Representative",Republican
"BURLISON, ERIC - Representative",Republican
"BURNS, BOB - Representative",Democratic
"BUTLER, MICHAEL  - Representative",Democratic
"CARPENTER, JOHN  - Representative",Democratic
"CARPENTER, JON  - Representative",Democratic
"CHAPPELLE-NADAL, MARIA N. - Senator",Democratic
Chris Koster - Public Official,Democratic
"CIERPIOT, MIKE  - Representative",Republican
"COLONA, MIKE - Representative",Democratic
"CONWAY, KATHIE  - Representative",Republican
"CONWAY, PAT - Representative",Democratic
"COOKSON, STEVE  - Representative",Republican
"CORNEJO, ROBERT  - Representative",Republican
"COX, STANLEY - Representative",Republican
"CRAWFORD, SANDY  - Representative",Republican
"CROSS, GARY  - Representative",Republican
"CUNNINGHAM, MIKE  - Senator",Republican
"CURLS, SHALONN (KIKI) - Senator",Democratic
"CURTIS, COURTNEY  - Representative",Democratic
"CURTMAN, PAUL  - Representative",Republican
"DAVIS, CHARLIE  - Representative",Republican
"DEMPSEY, TOM - Senator",Republican
"DIEHL, JOHN J JR - Representative",Republican
"DIXON, BOB - Senator",Republican
"DOHRMAN, DEAN  - Representative",Republican
"DUGGER, TONY - Representative",Republican
DUNN. RANDY  - Representative,Democratic
"ELLINGER, RORY  - Representative",Democratic
"ELLINGTON, BRANDON - Representative",Democratic
"ELMER, KEVIN  - Representative",Republican
"EMERY, ED  - Senator",Republican
"EMERY, ED - Representative",Republican
"EMERY, ED - Senator",Republican
"ENGLER, KEVIN  - Representative",Republican
"ENGLISH, KEITH  - Representative",Democratic
"ENGLUND, VICKI LORENZ - Representative",Democratic
"ENTLICHER, SUE  - Representative",Republican
"FITZPATRICK, SCOTT  - Representative",Republican
"FITZWATER, PAUL  - Representative",Republican
"FLANIGAN, TOM - Representative",Republican
"FOWLER, DENNIS  - Representative",Republican
"FRAKER, LYNDALL  - Representative",Republican
"FRAME, MICHAEL - Representative",Democratic
"FRANKLIN, DIANE  - Representative",Republican
