Lob F Name,Lob L Name,Report,Pub Off,Recipient,Date,Type,Description,Cost,Principal
Randall G,Allen,Jan-13,,"SCRIVNER, BOB - Local Government Official",1/27/2013,"Meals, Food, & Beverage",,$10.00 ,JEFFERSON CITY AREA CHAMBER OF COMMERCE
Randall G,Allen,Jan-13,,"ELLINGER, MARC - Local Government Official",1/25/2013,"Meals, Food, & Beverage",,$10.00 ,JEFFERSON CITY AREA CHAMBER OF COMMERCE
Charles M,Ambrose,Jan-13,,"BUTTERFIELD, DON - Local Government Official",1/9/2013,Gift,Gift bag presented w/UCM gear on court at UCM Johnson County/City of Warrensburg Night basketball game,$20.00 ,UNIVERSITY OF CENTRAL MISSOURI
Charles M,Ambrose,Jan-13,,"RUTT, CHARLIE - Local Government Official",1/9/2013,Gift,Gift bag presented w/UCM gear on court at UCM Johnson County/City of Warrensburg Night basketball game,$20.00 ,UNIVERSITY OF CENTRAL MISSOURI
Charles M,Ambrose,Jan-13,,Paula Hertwig-Hopkins - Public Official,1/9/2013,Other,Gift bag presented w/UCM gear on court at UCM Johnson County/City of Warrensburg Night basketball game,$20.00 ,UNIVERSITY OF CENTRAL MISSOURI
Charles M,Ambrose,Jan-13,,Bill Gabel - Public Official,1/9/2013,Other,Gift bag presented w/UCM gear on court at UCM Johnson County/City of Warrensburg Night basketball game,$20.00 ,UNIVERSITY OF CENTRAL MISSOURI
Charles M,Ambrose,Jan-13,,Diane Norcross Thompson - Public Official,1/9/2013,Other,Gift bag presented w/UCM gear on court at UCM Johnson County/City of Warrensburg Night basketball game,$20.00 ,UNIVERSITY OF CENTRAL MISSOURI
"Charles ""Andy""",Arnold,Jan-13,,"ROORDA, JEFF - Representative",1/29/2013,"Meals, Food, & Beverage",,$100.00 ,ARNOLD AND ASSOCIATES
John E,Bardgett Jr,Jan-13,,"SMITH, CLEM  - Representative",1/9/2013,"Meals, Food, & Beverage","Alexandro's - JC, MO",$41.12 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Jan-13,,"BEATTY, GAIL MCCANN  - Representative",1/9/2013,"Meals, Food, & Beverage","Alexandro's - JC, MO",$41.12 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Jan-13,,"CURLS, SHALONN (KIKI) - Senator",1/9/2013,"Meals, Food, & Beverage","Alexandro's - JC, MO",$41.12 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Jan-13,,"WEBB, STEVE - Representative",1/9/2013,"Meals, Food, & Beverage","Alexandro's - JC, MO",$41.12 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Jan-13,,"PIERSON, TOMMIE  - Representative",1/9/2013,"Meals, Food, & Beverage","Alexandro's - JC, MO",$41.12 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Jan-13,,"GARDNER, KIMBERLY  - Representative",1/9/2013,"Meals, Food, & Beverage","Alexandro's - JC, MO",$41.12 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Jan-13,,"HUBBARD, PENNY V.  - Representative",1/14/2013,"Meals, Food, & Beverage",Food for Capitol office ,$339.33 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Jan-13,,"RICHARD, RON  - Senator",1/22/2013,"Meals, Food, & Beverage",Catered to Capitol for Reunion,$257.47 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Jan-13,,"BUTLER, MICHAEL  - Representative",1/9/2013,"Meals, Food, & Beverage",Beverages for Capitol office,$94.27 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Jan-13,,"LEVOTA, PAUL  - Senator",1/9/2013,"Meals, Food, & Beverage","Catered to Capitol - JC, MO",$124.85 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Jan-13,,"SCHARNHORST, DWIGHT D. - Representative",1/19/2013,Entertainment,Blues Tickets,$320.00 ,"JOHN BARDGETT & ASSOCIATES, INC."
John E,Bardgett Jr,Jan-13,,"RICHARD, RON  - Senator",1/22/2013,"Meals, Food, & Beverage",NULL,($257.47),"JOHN BARDGETT & ASSOCIATES, INC."
Catherine,Barrie,Jan-13,"DIXON, BOB - Senator",Eric Jennings - Employee or Staff,1/12/2013,Gift,Cookies,$15.05 ,THE MISSOURI BAR
Catherine,Barrie,Jan-13,"DIXON, BOB - Senator",Tracey Joyce - Employee or Staff,1/12/2013,Gift,Cookies,$15.05 ,THE MISSOURI BAR
Catherine,Barrie,Jan-13,"KEAVENY, JOSEPH (JOE) - Senator",Stacy Morse - Employee or Staff,1/12/2013,Gift,Cookies,$15.05 ,THE MISSOURI BAR
Catherine,Barrie,Jan-13,,"DIXON, BOB - Senator",1/14/2013,"Meals, Food, & Beverage",Inauguration dinner,$345.25 ,THE MISSOURI BAR
Brian,Bernskoetter,Jan-13,"MUNZLINGER, BRIAN - Senator",Pat Thomas - Employee or Staff,1/26/2013,"Meals, Food, & Beverage",office snacks,$14.02 ,R. J. SCHERR AND ASSOCIATES
Dave,Berry,Jan-13,"DEMPSEY, TOM - Senator",Kit Crancer - Employee or Staff,1/23/2013,"Meals, Food, & Beverage",Dinner,$32.28 ,PELOPIDAS LLC
Guy William,Black,Jan-13,,"GATSCHENBERGER, CHUCK - Representative",1/28/2013,"Meals, Food, & Beverage",Lunch meeting,$9.67 ,(MIEC) MISSOURI INDUSTRIAL ENERGY CONSUMERS
