Lob F Name,Lob L Name,Report,Group,Date,Type,Description,Cost,Principal
Randall G,Allen,Jan-13,ENTIRE GENERAL ASSEMBLY,1/7/2013,"Meals, Food, & Beverage",Taste of Jefferson City Reception,"$7,083.69 ",JEFFERSON CITY AREA CHAMBER OF COMMERCE
Dale,Amick,Mar-13,"EMERGING ISSUES IN AGRICULTURE, Standing",3/13/2013,"Meals, Food, & Beverage",Missouri State Capitol,$116.76 ,MISSOURI CORN GROWERS ASSOCIATION
Dale,Amick,Feb-13,"AGRICULTURE POLICY, Standing",2/12/2013,"Meals, Food, & Beverage",Missouri State Capitol,$242.00 ,MISSOURI CATTLEMENS ASSOCIATION
Dale,Amick,Feb-13,"AGRI-BUSINESS, Standing",2/5/2013,"Meals, Food, & Beverage",Missouri State Capitol,$193.00 ,MISSOURI CATTLEMENS ASSOCIATION
Dale,Amick,Feb-13,ENTIRE GENERAL ASSEMBLY,2/28/2013,"Meals, Food, & Beverage",Missouri State Capitol,"$3,176.00 ",MISSOURI TRAVEL COUNCIL
Dale,Amick,Feb-13,ENTIRE GENERAL ASSEMBLY,2/28/2013,"Meals, Food, & Beverage",NULL,"($3,176.00)",MISSOURI TRAVEL COUNCIL
Dale,Amick,Feb-13,ENTIRE GENERAL ASSEMBLY,2/28/2013,"Meals, Food, & Beverage",Missouri STate Capitol,"$1,588.00 ",MISSOURI TRAVEL COUNCIL
Dale,Amick,Jan-13,"AGRI-BUSINESS, Standing",1/29/2013,"Meals, Food, & Beverage",Jefferson City,$250.00 ,MISSOURI CORN GROWERS ASSOCIATION
Dale,Amick,Jan-13,"AGRICULTURE POLICY, Standing",1/29/2013,"Meals, Food, & Beverage",Jefferson City,$250.00 ,MISSOURI CORN GROWERS ASSOCIATION
Dale,Amick,Jan-13,"APPROPRIATIONS - AGRICULTURE AND NATURAL RESOURCES, Standing",1/29/2013,"Meals, Food, & Beverage",Jefferson City,$250.00 ,MISSOURI CORN GROWERS ASSOCIATION
Dale,Amick,Jan-13,"EMERGING ISSUES IN AGRICULTURE, Standing",1/29/2013,"Meals, Food, & Beverage",Jefferson City,$250.00 ,MISSOURI CORN GROWERS ASSOCIATION
Dale,Amick,Jan-13,"AGRICULTURE, FOOD PRODUCTION AND OUTDOOR RESOURCES - Assigned Bills",1/29/2013,"Meals, Food, & Beverage",Jefferson City,$250.00 ,MISSOURI CORN GROWERS ASSOCIATION
Dale,Amick,Jan-13,"AGRICULTURE POLICY, Standing",1/29/2013,"Meals, Food, & Beverage",State Capitol,$292.00 ,DALE AMICK & ASSOCIATES
Dale,Amick,Jan-13,"AGRICULTURE POLICY, Standing",1/29/2013,"Meals, Food, & Beverage",NULL,($292.00),DALE AMICK & ASSOCIATES
Dale,Amick,Jan-13,"AGRICULTURE POLICY, Standing",1/29/2013,"Meals, Food, & Beverage",State Capitol,$292.00 ,MISSOURI CORN GROWERS ASSOCIATION
Dale,Amick,Jan-13,"APPROPRIATIONS - AGRICULTURE AND NATURAL RESOURCES, Standing",1/30/2013,"Meals, Food, & Beverage",Missouri State Capitol,$30.00 ,DALE AMICK & ASSOCIATES
Dale,Amick,Jan-13,ENTIRE GENERAL ASSEMBLY,1/29/2013,"Meals, Food, & Beverage",Missouri State CApitol,$300.00 ,MISSOURI PORT AUTHORITY ASSOCIATION
"Charles ""Andy""",Arnold,Feb-13,ENTIRE GENERAL ASSEMBLY,2/18/2013,"Meals, Food, & Beverage","Mo. State Capitol, JCMO/Catered Luncheon",$300.00 ,ARNOLD AND ASSOCIATES
"Charles ""Andy""",Arnold,Jan-13,ENTIRE MISSOURI SENATE,1/29/2013,"Meals, Food, & Beverage",Mo. State Capitol/Beverages,$275.00 ,ARNOLD AND ASSOCIATES
"Charles ""Andy""",Arnold,Apr-13,"RULES, Standing",4/9/2013,"Meals, Food, & Beverage","Jefferson City Country Club, JCMO/Committee Dinner",$212.72 ,ARNOLD AND ASSOCIATES
"Charles ""Andy""",Arnold,Apr-13,"UTILITIES, Standing",4/24/2013,"Meals, Food, & Beverage","State Capitol Bldg, JCMO/Catered BReakfast",$253.00 ,ARNOLD AND ASSOCIATES
"Charles ""Andy""",Arnold,May-13,ENTIRE MISSOURI SENATE,5/16/2013,"Meals, Food, & Beverage","Mo. State Capital, JCMO/Catered Lunch",$165.00 ,ARNOLD AND ASSOCIATES
"Charles ""Andy""",Arnold,May-13,"UTILITIES, Standing",5/1/2013,"Meals, Food, & Beverage",Committee Breakfast,$253.35 ,ARNOLD AND ASSOCIATES
"Charles ""Andy""",Arnold,Mar-13,ENTIRE MISSOURI SENATE,3/7/2013,"Meals, Food, & Beverage",Jefferson City/Dinner,$147.55 ,ARNOLD AND ASSOCIATES
"Charles ""Andy""",Arnold,Mar-13,"LOCAL GOVERNMENT, Standing",3/4/2013,"Meals, Food, & Beverage","State Capitol Bldg, JCMO/Catered Committee Lunch",$175.82 ,ARNOLD AND ASSOCIATES
"Charles ""Andy""",Arnold,Mar-13,ENTIRE MISSOURI SENATE,3/11/2013,"Meals, Food, & Beverage","State Capitol Building, JCMO/Beverages",$325.00 ,ARNOLD AND ASSOCIATES
"Charles ""Andy""",Arnold,Mar-13,ENTIRE GENERAL ASSEMBLY,3/5/2013,"Meals, Food, & Beverage",DoubleTree Hotel/JCMO/Catered Reception,"$3,947.31 ",MISSOURI ASSOCIATION OF PROSECUTING ATTORNEYS
Jack D,Atterberry,Mar-13,"TRANSPORTATION, Standing",3/5/2013,"Meals, Food, & Beverage","Missouri State Capitol, Jefferson City, MO/Catered Luncheon",$185.00 ,"ASSOCIATED GENERAL CONTRACTORS OF MISSOURI, INC."
Jack D,Atterberry,Apr-13,ENTIRE MISSOURI HOUSE,4/2/2013,"Meals, Food, & Beverage","Missouri State Capitol, Jefferson City, MO/Catered Dinner",$472.59 ,"ASSOCIATED GENERAL CONTRACTORS OF MISSOURI, INC."
Richard M,Aubuchon,Feb-13,"CRIME PREVENTION AND PUBLIC SAFETY, STANDING",2/25/2013,"Meals, Food, & Beverage",Lunch catered by Hy-Vee at the state capitol,$104.85 ,TRANSYSTEMS 
Richard M,Aubuchon,Apr-13,ENTIRE MISSOURI HOUSE,4/23/2013,"Meals, Food, & Beverage",Cattered dinner at the state capitol.,$46.96 ,MISSOURI CHAMBER OF COMMERCE AND INDUSTRY
Richard M,Aubuchon,Apr-13,ENTIRE MISSOURI HOUSE,4/23/2013,"Meals, Food, & Beverage",Cattered dinner at the state capitol.,$46.96 ,"HY-VEE, INC."
Richard M,Aubuchon,Apr-13,ENTIRE MISSOURI HOUSE,4/23/2013,"Meals, Food, & Beverage",Cattered dinner at the state capitol.,$46.95 ,TREANOR ARCHITECTS P.A.
Richard M,Aubuchon,Apr-13,ENTIRE MISSOURI HOUSE,4/23/2013,"Meals, Food, & Beverage",Cattered dinner at the state capitol.,$46.96 ,THE UNIVERISTY OF KANSAS HOSPITAL AUTHORITY
Richard M,Aubuchon,Apr-13,ENTIRE MISSOURI HOUSE,4/23/2013,"Meals, Food, & Beverage",Cattered dinner at the state capitol.,$46.96 ,TRANSYSTEMS 
Richard M,Aubuchon,Apr-13,ENTIRE MISSOURI HOUSE,4/23/2013,"Meals, Food, & Beverage",Cattered dinner at the state capitol.,$46.96 ,PIPER JAFFRAY
Richard M,Aubuchon,Apr-13,ENTIRE MISSOURI HOUSE,4/23/2013,"Meals, Food, & Beverage",Cattered dinner at the state capitol.,$46.96 ,"FAIRPAY SOLUTIONS, INC."
Richard M,Aubuchon,Apr-13,ENTIRE MISSOURI HOUSE,4/23/2013,"Meals, Food, & Beverage",Cattered dinner at the state capitol.,$46.96 ,JE DUNN CONSTRUCTION
Richard M,Aubuchon,Apr-13,ENTIRE MISSOURI HOUSE,4/23/2013,"Meals, Food, & Beverage",Cattered dinner at the state capitol.,$46.96 ,LOCKTON INC.
Richard M,Aubuchon,Mar-13,ENTIRE MISSOURI SENATE,3/7/2013,"Meals, Food, & Beverage",Dinner at Munichberg Tap House in Jefferson City,$14.55 ,"FAIRPAY SOLUTIONS, INC."
Richard M,Aubuchon,Mar-13,ENTIRE MISSOURI SENATE,3/7/2013,"Meals, Food, & Beverage",Dinner at Munichberg Tap House in Jefferson City,$14.55 ,PIPER JAFFRAY
Richard M,Aubuchon,Mar-13,ENTIRE MISSOURI SENATE,3/7/2013,"Meals, Food, & Beverage",Dinner at Munichberg Tap House in Jefferson City,$14.55 ,THE UNIVERISTY OF KANSAS HOSPITAL AUTHORITY
Richard M,Aubuchon,Mar-13,ENTIRE MISSOURI SENATE,3/7/2013,"Meals, Food, & Beverage",Dinner at Munichberg Tap House in Jefferson City,$14.59 ,TREANOR ARCHITECTS P.A.
Richard M,Aubuchon,Mar-13,ENTIRE MISSOURI SENATE,3/7/2013,"Meals, Food, & Beverage",Dinner at Munichberg Tap House in Jefferson City,$14.55 ,TRANSYSTEMS 
Richard M,Aubuchon,Mar-13,ENTIRE MISSOURI SENATE,3/7/2013,"Meals, Food, & Beverage",Dinner at Munichberg Tap House in Jefferson City,$14.55 ,"HY-VEE, INC."
Richard M,Aubuchon,Mar-13,ENTIRE MISSOURI SENATE,3/7/2013,"Meals, Food, & Beverage",Dinner at Munichberg Tap House in Jefferson City,$14.55 ,LOCKTON INC.
Richard M,Aubuchon,Mar-13,ENTIRE MISSOURI SENATE,3/7/2013,"Meals, Food, & Beverage",Dinner at Munichberg Tap House in Jefferson City,$14.55 ,GENERAL MOTORS LLC
Richard M,Aubuchon,Mar-13,ENTIRE MISSOURI SENATE,3/7/2013,"Meals, Food, & Beverage",Dinner at Munichberg Tap House in Jefferson City,$14.56 ,JE DUNN CONSTRUCTION
